basket;social;income;population;sme;invest;area;employ
120366,195;9 333 455,4;6 579 344,7;63 995;318,8;21831,7;24,4;9,1
156300,6881;108 937 802,9;17 173 863,8;182 496;273,6;346726,7;23,9;19,5
