Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
16;1056476;Поступление зарплаты на счет;Ремонт;0;0.19;мужской;0;0;высшее;специалист;>250;0;15;31;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1056496;Поступление зарплаты на счет;Ремонт;0;0.26;женский;0;0;второе высшее;специалист;>250;0;13;25;Другое;ООО;женат / замужем;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;2;2;0;0;0;0;0;0;0
16;1056516;Свободная форма с печатью работодателя;Покупка земли;1;0.59;мужской;0;0;высшее;менеджер по продажам;< 50;0;79;50;Торговля;ООО;женат / замужем;0;0;0;0;0;0;1;2;0;0;0.4444444444;4;5;173;9;2;0;5;77;0;0;0;0;0;0;0
16;1056536;Поступление зарплаты на счет;Ремонт;1;0.56;мужской;1;0;среднее;менеджер среднего звена;>250;1;91;28;Информационные технологии;ООО;женат / замужем;0;0;0;0;0;0.0227272727;0;1;0;0;0.6666666667;2;1;43;3;1;1;3;61;1;0;0;0;0;0;0
16;1056556;Форма банка (без печати работодателя);Покупка автомобиля;0;0.27;мужской;2;0;высшее;менеджер среднего звена;< 50;0;63;42;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1056576;2НДФЛ;Покупка автомобиля;0;0.21;женский;1;0;среднее-специальное;специалист;>250;3;31;35;Торговля;ОАО;гражданский брак;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
16;1056596;2НДФЛ;Ремонт;0;0.59;женский;0;0;высшее;менеджер среднего звена;>250;0;80;43;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1056616;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.26;мужской;2;0;высшее;менеджер высшего звена;< 50;0;150;40;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1056636;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.53;женский;0;0;высшее;вспомогательный персонал;>250;1;28;44;Другое;ООО;повторный брак;1;0;0;0;0;0;1;1;0;0;0.1666666667;1;5;76;6;1;0;4;75;0;0;0;0;0;0;0
16;1056656;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.22;мужской;1;0;незаконченное высшее;вспомогательный персонал;>250;0;77;44;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1056676;Форма банка (без печати работодателя);Ремонт;1;0.49;женский;1;0;высшее;менеджер высшего звена;< 50;0;15;31;Другое;ООО;разведен / разведена;1;0;0;0;0;0.1189189189;1;0;0;0;0.6666666667;4;2;163;6;1;1;21;79;1;0;0;0;0;0;0
16;1056696;Форма банка (без печати работодателя);Обучение;1;0.55;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;63;52;Торговля;ООО;гражданский брак;3;2;0;0;0;0.0100502513;0;2;0;0;0.4117647059;7;10;197;17;3;3;5;92;1;0;0;0;0;0;0
16;1056716;Поступление зарплаты на счет;Ремонт;0;0.11;мужской;0;0;высшее;специалист;>250;1;7;29;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1056736;Поступление зарплаты на счет;Ремонт;0;0.22;мужской;2;0;среднее-специальное;специалист;>250;1;34;30;Торговля;ООО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
16;1056756;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.25;женский;2;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1056776;Форма банка (без печати работодателя);Ремонт;1;0.18;мужской;1;0;среднее-специальное;вспомогательный персонал;< 50;0;25;31;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1056796;Поступление зарплаты на счет;Покупка автомобиля;0;0.06;мужской;2;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;>250;0;44;36;Другое;Иная форма;женат / замужем;1;1;1;0;0;0.0145985401;1;0;0;0;0.1111111111;1;8;135;9;1;4;17;102;1;0;0;0;0;0;0
16;1056816;Поступление зарплаты на счет;Ремонт;0;0.45;мужской;1;0;среднее-специальное;рабочий;>250;1;186;37;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1056836;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.27;женский;0;0;высшее;менеджер среднего звена;>250;0;81;29;Информационные технологии;ООО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;1;8;8;0;0;0;0;0;0;0
16;1056856;Свободная форма с печатью работодателя;Ремонт;0;0.43;женский;1;0;среднее-специальное;менеджер по продажам;>250;3;47;36;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1056876;Поступление зарплаты на счет;Ремонт;0;0.33;мужской;0;0;высшее;вспомогательный персонал;>250;0;18;26;Другое;ЗАО;холост / не замужем;0;0;0;0;0;0;1;0;0;0;0.5;2;2;36;4;0;1;10;21;0;0;0;0;0;0;0
16;1056896;Форма банка (без печати работодателя);Отпуск;1;0.2;мужской;0;0;высшее;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1056916;Поступление зарплаты на счет;Покупка автомобиля;1;0.47;мужской;2;0;среднее;специалист;>250;1;11;31;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1056936;Поступление зарплаты на счет;Ремонт;1;0.43;женский;0;0;незаконченное высшее;специалист;>250;0;19;28;Торговля;ООО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
16;1056956;Поступление зарплаты на счет;Ремонт;0;0.22;женский;0;0;высшее;менеджер среднего звена;>250;0;11;30;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1056976;Форма банка (без печати работодателя);Ремонт;1;0.45;женский;0;0;среднее-специальное;вспомогательный персонал;< 50;0;48;50;Торговля;Индивидуальный предприниматель;холост / не замужем;0;0;0;0;0;0;0;0;0;0;0.3333333333;1;2;109;3;0;1;30;82;0;0;0;0;0;0;0
16;1056996;Форма банка (без печати работодателя);Ремонт;0;0.29;мужской;0;0;высшее;специалист;>250;0;30;53;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057016;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.48;мужской;0;0;высшее;менеджер высшего звена;< 50;0;33;35;Торговля;ООО;женат / замужем;1;1;1;1;1;0.0277777778;1;0;0;0;0.25;1;3;70;4;0;0;25;77;1;0;0;0;0;0;0
16;1057036;Форма банка (без печати работодателя);Ремонт;0;0.13;мужской;0;0;среднее-специальное;рабочий;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057056;Поступление зарплаты на счет;Ремонт;0;0.29;женский;0;0;высшее;менеджер среднего звена;>250;0;104;50;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057076;Поступление зарплаты на счет;Покупка автомобиля;0;0.49;женский;2;0;Высшее/Второе высшее/Ученая степень;специалист;>250;1;113;36;Информационные технологии;ООО;разведен / разведена;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
16;1057096;Поступление зарплаты на счет;Ремонт;1;0.59;женский;1;0;высшее;менеджер среднего звена;>250;0;105;41;Торговля;ООО;гражданский брак;4;2;1;1;1;0.0058823529;1;1;0;0;0.3333333333;5;10;169;15;3;3;3;92;1;0;0;0;0;0;0
16;1057116;Поступление зарплаты на счет;Ремонт;0;0.53;мужской;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057136;Поступление зарплаты на счет;Ремонт;1;0.15;женский;0;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057156;Форма банка (без печати работодателя);Ремонт;1;0.22;мужской;2;0;среднее-специальное;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057176;Форма банка (без печати работодателя);Ремонт;1;0.49;женский;1;0;высшее;менеджер среднего звена;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057196;Свободная форма с печатью работодателя;Ремонт;1;0.49;женский;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057216;Поступление зарплаты на счет;Покупка автомобиля;1;0.2;мужской;0;0;незаконченное высшее;специалист;>250;0;24;24;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057236;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.2;мужской;0;0;среднее;рабочий;>250;0;57;49;Другое;ООО;женат / замужем;1;1;1;1;1;0;0;0;0;0;0;0;1;9;1;0;0;29;29;0;0;0;0;0;0;0
16;1057256;2НДФЛ;Ремонт;1;0.11;женский;1;0;второе высшее;менеджер высшего звена;>250;1;28;44;Другое;ООО;холост / не замужем;3;3;3;3;3;0.0113636364;1;0;0;0;0.2857142857;3;4;87;7;2;1;17;105;1;0;0;0;0;0;0
16;1057276;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.23;женский;1;0;высшее;менеджер среднего звена;>250;0;60;35;Другое;ОАО;холост / не замужем;0;0;0;0;0;0;1;0;0;0;0;1;3;31;4;1;0;17;32;0;0;0;0;0;0;0
16;1057296;Поступление зарплаты на счет;Ремонт;1;0.46;мужской;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057316;2НДФЛ;Ремонт;1;0.59;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;153;51;Другое;ООО;женат / замужем;1;1;1;0;0;0.0540540541;1;0;0;0;0;0;2;35;2;0;2;14;24;1;0;0;0;0;0;0
16;1057336;Поступление зарплаты на счет;Ремонт;1;0.16;женский;0;0;незаконченное высшее;специалист;>250;0;40;24;Информационные технологии;ОАО;холост / не замужем;1;0;0;0;0;0.0961538462;0;0;0;0;1;3;0;47;3;2;0;17;39;1;1;1;1;0;0;1
16;1057356;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.28;женский;0;0;высшее;менеджер среднего звена;>250;0;229;42;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057376;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.52;мужской;0;0;среднее;вспомогательный персонал;>250;0;24;52;Другое;ООО;женат / замужем;0;0;0;0;0;0;1;0;0;0;1;3;0;68;3;2;0;21;37;0;0;0;0;0;0;0
16;1057396;Форма банка (без печати работодателя);Ремонт;0;0.17;мужской;1;0;среднее-специальное;менеджер среднего звена;>250;0;83;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057416;Поступление зарплаты на счет;Покупка мебели;1;0.45;мужской;2;0;среднее;рабочий;>250;0;86;33;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057436;Форма банка (без печати работодателя);Ремонт;0;0.11;женский;1;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057456;Поступление зарплаты на счет;Покупка бытовой техники;1;0.15;мужской;0;0;высшее;специалист;>250;0;67;25;Информационные технологии;ООО;холост / не замужем;0;0;0;0;0;0.1;0;0;0;0;0;0;1;9;1;0;1;17;17;1;0;0;0;0;0;0
16;1057476;Поступление зарплаты на счет;Ремонт;0;0.31;женский;0;0;высшее;вспомогательный персонал;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057496;Поступление зарплаты на счет;Ремонт;0;0.52;женский;0;0;высшее;специалист;>250;0;23;31;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.0235294118;0;0;0;0;0.2857142857;2;5;83;7;1;2;11;78;1;0;0;0;0;0;0
16;1057516;2НДФЛ;Покупка автомобиля;0;0.49;женский;1;0;высшее;менеджер среднего звена;>250;0;200;43;Торговля;ООО;повторный брак;1;1;1;0;0;0.0491803279;1;2;2;1;0.2857142857;4;10;174;14;2;4;1;72;1;0;0;0;0;0;0
16;1057536;2НДФЛ;Ремонт;0;0.43;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;0;7;49;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057556;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.59;женский;1;0;среднее-специальное;специалист;>250;0;113;52;Торговля;ООО;холост / не замужем;3;0;0;0;0;0.0066889632;1;3;1;0;0.4375;7;9;297;16;5;3;2;102;1;0;0;0;0;0;0
16;1057576;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.11;женский;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057596;2НДФЛ;Ремонт;0;0.19;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057616;2НДФЛ;Ремонт;1;0.32;мужской;2;0;среднее-специальное;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057636;Форма банка (без печати работодателя);Ремонт;1;0.04;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;< 50;0;274;57;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057656;2НДФЛ;Покупка недвижимости/ строительство;0;0.17;мужской;2;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057676;Свободная форма с печатью работодателя;Ремонт;1;0.39;женский;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057696;Форма банка (без печати работодателя);Ремонт;0;0.23;женский;1;0;высшее;специалист;>250;0;24;36;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057716;Поступление зарплаты на счет;Ремонт;0;0.55;мужской;0;0;высшее;специалист;>250;1;36;54;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057736;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.52;мужской;0;0;Высшее/Второе высшее/Ученая степень;рабочий;>250;0;81;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057756;Поступление зарплаты на счет;Ремонт;1;0.29;мужской;1;0;среднее-специальное;вспомогательный персонал;>250;0;56;43;Другое;ЗАО;женат / замужем;1;1;0;0;0;0.0208333333;0;1;0;0;0.5;1;1;47;2;1;1;5;44;1;0;0;0;0;0;0
16;1057776;2НДФЛ;Ремонт;1;0.57;женский;0;0;второе высшее;менеджер среднего звена;< 50;1;155;36;Другое;ООО;холост / не замужем;3;2;2;2;2;0;0;0;0;0;0.3333333333;1;2;50;3;1;1;15;28;0;0;0;0;0;0;0
16;1057796;Поступление зарплаты на счет;Ремонт;1;0.4;женский;0;0;высшее;вспомогательный персонал;>250;0;18;25;Другое;ЗАО;холост / не замужем;2;1;0;0;0;0;0;0;0;0;1;1;0;15;1;0;0;14;14;0;0;0;0;0;0;0
16;1057816;Поступление зарплаты на счет;Ремонт;1;0.41;женский;0;0;высшее;вспомогательный персонал;>250;1;51;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057836;Форма банка (без печати работодателя);Покупка бытовой техники;1;0.29;мужской;0;0;высшее;менеджер среднего звена;>250;0;36;25;Информационные технологии;ООО;холост / не замужем;1;0;0;0;0;0.010989011;0;1;1;0;0.5714285714;4;3;90;7;2;0;2;27;1;0;0;0;0;0;0
16;1057856;2НДФЛ;Ремонт;1;0.47;мужской;0;0;высшее;рабочий;>250;0;41;27;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057876;Поступление зарплаты на счет;Покупка автомобиля;1;0.28;женский;0;0;высшее;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057896;Форма банка (без печати работодателя);Ремонт;1;0.36;женский;1;0;высшее;менеджер среднего звена;>250;0;37;26;Торговля;ЗАО;женат / замужем;3;3;3;3;3;0.1836734694;0;0;0;0;0;0;4;40;4;0;2;5;26;1;0;0;0;0;0;0
16;1057916;2НДФЛ;Ремонт;0;0.44;мужской;0;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1057936;Форма банка (без печати работодателя);Ремонт;1;0.32;мужской;2;0;высшее;менеджер высшего звена;>250;0;32;37;Информационные технологии;ЗАО;повторный брак;1;0;0;0;0;0.022556391;1;0;0;0;0.25;2;6;130;8;1;1;33;96;1;0;0;0;0;0;0
16;1057956;Поступление зарплаты на счет;Покупка автомобиля;1;0.58;женский;1;0;высшее;менеджер среднего звена;>250;0;29;49;Торговля;ООО;женат / замужем;0;0;0;0;0;0.0813953488;0;0;0;0;1;3;0;79;3;2;0;6;41;1;0;0;0;0;0;0
16;1057976;2НДФЛ;Покупка недвижимости/ строительство;0;0.26;мужской;1;0;высшее;менеджер среднего звена;>250;0;8;35;Торговля;ООО;женат / замужем;1;1;0;0;0;0.0845771144;1;1;1;1;0.1538461538;2;11;184;13;2;2;1;99;1;0;0;0;0;0;0
16;1057996;Свободная форма с печатью работодателя;Ремонт;0;0.59;женский;2;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;230;40;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058016;Форма банка (без печати работодателя);Ремонт;0;0.3;мужской;2;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058036;Поступление зарплаты на счет;Ремонт;1;0.36;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;98;37;Другое;ООО;женат / замужем;1;1;0;0;0;0.0163043478;0;0;0;0;0.2;3;12;181;15;1;1;18;113;1;0;0;0;0;0;0
16;1058056;Свободная форма с печатью работодателя;Ремонт;1;0.49;мужской;0;0;среднее;рабочий;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058076;2НДФЛ;Ремонт;0;0.23;мужской;2;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;207;40;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058096;Форма банка (без печати работодателя);Ремонт;0;0.39;женский;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058116;Форма банка (без печати работодателя);Отпуск;1;0.49;мужской;1;0;незаконченное высшее;специалист;< 50;0;44;33;Торговля;ООО;повторный брак;0;0;0;0;0;0.0434782609;0;1;0;0;0.2857142857;2;5;44;7;1;0;3;68;1;0;0;0;0;0;0
16;1058136;Поступление зарплаты на счет;Ремонт;0;0.36;женский;1;0;среднее-специальное;менеджер среднего звена;>250;0;57;37;Торговля;ООО;женат / замужем;3;3;3;3;3;;;;;;;;;;;;;;;;;;;;;
16;1058156;2НДФЛ;Ремонт;1;0.29;мужской;3;0;высшее;специалист;< 50;0;13;49;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058176;2НДФЛ;Ремонт;1;0.16;женский;1;0;Высшее/Второе высшее/Ученая степень;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058196;Форма банка (без печати работодателя);Лечение;1;0.52;мужской;0;0;среднее-специальное;рабочий;< 50;0;98;46;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.1621621622;1;0;0;0;1;2;0;31;2;1;0;18;18;1;0;0;0;0;0;0
16;1058216;2НДФЛ;Покупка недвижимости/ строительство;0;0.31;женский;0;0;высшее;менеджер среднего звена;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058236;2НДФЛ;Ремонт;1;0.48;мужской;0;0;высшее;менеджер среднего звена;>250;0;7;36;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058256;Форма банка (без печати работодателя);Ремонт;1;0.27;женский;0;0;высшее;менеджер среднего звена;< 50;0;13;38;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058276;2НДФЛ;Ремонт;0;0.26;женский;2;0;высшее;менеджер по продажам;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058296;Форма банка (без печати работодателя);Ремонт;0;0.45;мужской;0;0;незаконченное высшее;менеджер по продажам;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058316;Свободная форма с печатью работодателя;Ремонт;0;0.44;женский;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;< 50;0;7;38;Другое;ООО;женат / замужем;1;1;0;0;0;0.1781609195;1;0;0;0;0.4;2;3;143;5;1;2;17;91;1;0;0;0;0;0;0
16;1058336;Форма банка (без печати работодателя);Ремонт;1;0.46;мужской;1;0;среднее-специальное;рабочий;>250;0;70;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058356;2НДФЛ;Покупка недвижимости/ строительство;1;0.19;мужской;0;0;незаконченное высшее;специалист;< 50;0;32;31;Торговля;Индивидуальный предприниматель;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.5;1;1;18;2;0;1;25;25;0;0;0;0;0;0;0
16;1058376;Форма банка (без печати работодателя);Ремонт;1;0.26;женский;0;0;высшее;менеджер среднего звена;>250;0;65;53;Торговля;ООО;женат / замужем;1;0;0;0;0;0.0375;0;0;0;0;0.3333333333;1;2;77;3;1;1;28;96;1;0;0;0;0;0;0
16;1058396;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.13;женский;0;0;второе высшее;специалист;>250;0;23;46;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058416;Поступление зарплаты на счет;Другое;0;0.31;мужской;0;0;среднее-специальное;торговый представитель;>250;0;8;25;Торговля;ООО;холост / не замужем;1;1;1;1;1;0.0454545455;0;0;0;0;0.5;1;1;21;2;1;0;11;44;1;0;0;0;0;0;0
16;1058436;Поступление зарплаты на счет;Другое;1;0.19;женский;1;0;высшее;специалист;>250;1;35;33;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058456;2НДФЛ;Ремонт;1;0.59;мужской;0;0;высшее;специалист;>250;1;16;25;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058476;2НДФЛ;Покупка недвижимости/ строительство;1;0.27;мужской;0;0;среднее;вспомогательный персонал;>250;0;59;46;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058496;Поступление зарплаты на счет;Ремонт;0;0.19;женский;2;0;высшее;вспомогательный персонал;>250;0;42;29;Торговля;ООО;гражданский брак;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
16;1058516;Поступление зарплаты на счет;Покупка автомобиля;1;0.12;мужской;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058536;2НДФЛ;Ремонт;0;0.44;женский;2;0;высшее;специалист;>250;0;20;37;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058556;2НДФЛ;Ремонт;1;0.49;мужской;1;0;среднее-специальное;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058576;Форма банка (без печати работодателя);Покупка бытовой техники;0;0.55;женский;1;0;среднее-специальное;рабочий;>250;0;71;50;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058596;2НДФЛ;Ремонт;1;0.24;женский;1;0;высшее;вспомогательный персонал;< 50;3;10;25;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058616;2НДФЛ;Ремонт;0;0.44;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;>250;0;55;45;Другое;ООО;холост / не замужем;5;3;3;3;3;0.0114942529;1;0;0;0;0.2;2;3;86;5;1;2;16;103;1;0;0;0;0;0;0
16;1058636;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.25;женский;1;0;высшее;менеджер среднего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058656;Поступление зарплаты на счет;Ремонт;1;0.35;мужской;1;0;среднее-специальное;рабочий;>250;0;57;41;Другое;ООО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
16;1058676;Форма банка (без печати работодателя);Лечение;0;0.44;мужской;2;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;64;26;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058696;Форма банка (без печати работодателя);Отпуск;1;0.46;женский;0;0;высшее;специалист;< 50;0;59;43;Другое;ООО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0.5;1;1;46;2;1;0;26;38;0;0;0;0;0;0;0
16;1058716;Поступление зарплаты на счет;Покупка автомобиля;1;0.15;мужской;0;0;высшее;специалист;>250;0;8;25;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058736;Форма банка (без печати работодателя);Ремонт;1;0.36;мужской;0;0;среднее-специальное;менеджер среднего звена;>250;0;75;45;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058756;Поступление зарплаты на счет;Отпуск;0;0.27;женский;0;0;высшее;специалист;>250;0;45;31;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058776;Поступление зарплаты на счет;Ремонт;1;0.46;мужской;0;0;высшее;вспомогательный персонал;>250;0;22;47;Торговля;ООО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;0.6666666667;2;1;52;3;0;0;84;84;0;0;0;0;0;0;0
16;1058796;;Покупка недвижимости/ строительство;0;;женский;0;0;высшее;другое;;1;132;33;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058816;Форма банка (без печати работодателя);Ремонт;1;0.03;мужской;1;0;высшее;менеджер высшего звена;< 50;0;62;35;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058836;2НДФЛ;Ремонт;1;0.18;мужской;0;0;высшее;вспомогательный персонал;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058856;Форма банка (без печати работодателя);Ремонт;1;0.26;мужской;3;0;высшее;менеджер среднего звена;>250;0;72;41;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058876;Поступление зарплаты на счет;Ремонт;0;0.48;женский;0;0;высшее;менеджер среднего звена;>250;0;149;40;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1058896;Поступление зарплаты на счет;Покупка автомобиля;0;0.43;женский;2;0;высшее;специалист;< 50;0;8;29;Торговля;ООО;женат / замужем;1;1;1;1;1;0;0;0;0;0;0;0;1;25;1;0;0;58;58;0;0;0;0;0;0;0
16;1058916;Форма банка (без печати работодателя);Покупка автомобиля;1;0.21;мужской;0;0;высшее;специалист;>250;0;36;25;Другое;ОАО;холост / не замужем;0;0;0;0;0;0.0222222222;0;0;0;0;0.3333333333;1;2;44;3;0;1;23;44;1;1;1;1;0;0;1
16;1058936;Поступление зарплаты на счет;Ремонт;1;0.34;женский;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
