Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
16;1000496;Поступление зарплаты на счет;Другое;1;0.51;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;< 50;0;18;27;Другое;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.1428571429;1;6;90;7;0;0;32;52;0;0;0;0;0;0;0
16;1000516;Поступление зарплаты на счет;Ремонт;0;0.27;мужской;0;0;высшее;специалист;>250;0;54;27;Информационные технологии;ООО;женат / замужем;1;0;0;0;0;0;1;1;0;0;0.3333333333;2;4;43;6;2;1;3;37;0;0;0;0;0;0;0
16;1000536;Форма банка (без печати работодателя);Отпуск;0;0.23;женский;1;0;второе высшее;специалист;< 50;0;19;29;Торговля;ООО;холост / не замужем;1;1;1;1;1;0.0090909091;1;0;0;0;0.2222222222;2;7;109;9;1;0;14;49;1;0;0;0;0;0;0
16;1000556;Поступление зарплаты на счет;Ремонт;0;0.29;женский;0;0;высшее;менеджер среднего звена;>250;0;51;46;Торговля;ООО;женат / замужем;3;3;3;3;3;0;0;0;0;0;0.1428571429;1;6;57;7;0;3;20;66;0;0;0;0;0;0;0
16;1000576;Форма банка (без печати работодателя);Ремонт;0;0.38;женский;0;0;высшее;специалист;>250;0;83;31;Торговля;ООО;холост / не замужем;1;1;1;0;0;0.0299145299;1;0;0;0;0.3;3;7;227;10;2;1;6;70;1;0;0;0;0;0;0
16;1000596;2НДФЛ;Ремонт;1;0.19;мужской;1;0;высшее;менеджер среднего звена;>250;3;9;41;Другое;ООО;женат / замужем;3;3;2;2;2;0;0;1;0;0;0.5;1;1;7;2;0;0;3;56;0;0;0;0;0;0;0
16;1000616;Форма банка (без печати работодателя);Ремонт;0;0.39;мужской;0;0;высшее;менеджер среднего звена;< 50;0;96;37;Информационные технологии;ООО;разведен / разведена;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
16;1000636;2НДФЛ;Покупка недвижимости/ строительство;0;0.56;женский;0;0;высшее;специалист;>250;3;11;25;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000656;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.35;мужской;2;0;среднее-специальное;вспомогательный персонал;>250;0;86;34;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000676;Свободная форма с печатью работодателя;Ремонт;0;0.41;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000696;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.28;мужской;0;0;среднее;рабочий;>250;0;71;55;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000716;Форма банка (без печати работодателя);Покупка мебели;1;0.49;женский;0;0;высшее;менеджер среднего звена;>250;0;322;48;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000736;Поступление зарплаты на счет;Отпуск;0;0.18;женский;0;0;высшее;специалист;>250;0;8;27;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000756;Поступление зарплаты на счет;Покупка автомобиля;1;0.4;мужской;1;0;среднее-специальное;менеджер среднего звена;< 50;0;185;48;Информационные технологии;ЗАО;женат / замужем;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;
16;1000776;Поступление зарплаты на счет;Ремонт;1;0.25;женский;0;0;высшее;специалист;>250;0;12;36;Торговля;ЗАО;холост / не замужем;0;0;0;0;0;0;1;0;0;0;0.5;2;2;48;4;1;0;8;73;0;0;0;0;0;0;0
16;1000796;Форма банка (без печати работодателя);Ремонт;0;0.42;мужской;0;0;высшее;менеджер среднего звена;< 50;0;16;36;Торговля;Индивидуальный предприниматель;холост / не замужем;1;1;1;0;0;0.0704225352;1;0;0;0;0.4;2;3;66;5;1;1;6;27;1;0;0;0;0;0;0
16;1000816;Поступление зарплаты на счет;Ремонт;1;0.24;мужской;2;0;высшее;специалист;>250;0;88;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000836;Форма банка (без печати работодателя);Ремонт;1;0.23;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;57;47;Другое;ОАО;женат / замужем;1;1;1;1;1;0;1;0;0;0;0.5;1;1;48;2;0;1;23;49;0;0;0;0;0;0;0
16;1000856;Поступление зарплаты на счет;Ремонт;1;0.55;женский;1;0;среднее-специальное;вспомогательный персонал;>250;0;37;32;Торговля;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;1;1;0;17;1;0;0;34;34;0;0;0;0;0;0;0
16;1000876;2НДФЛ;Ремонт;1;0.49;мужской;1;0;среднее-специальное;рабочий;>250;0;100;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000896;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.59;мужской;0;0;среднее-специальное;вспомогательный персонал;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000916;Форма банка (без печати работодателя);Ремонт;0;0.38;мужской;1;0;среднее-специальное;менеджер среднего звена;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000936;Форма банка (без печати работодателя);Покупка автомобиля;1;0.59;мужской;1;0;среднее-специальное;вспомогательный персонал;>250;0;145;35;Торговля;ООО;женат / замужем;0;0;0;0;0;0.0627306273;1;0;0;0;0.3;3;7;254;10;1;1;22;106;1;0;0;0;0;0;0
16;1000956;Поступление зарплаты на счет;Ремонт;0;0.41;мужской;1;0;высшее;менеджер среднего звена;< 50;0;24;45;Другое;ООО;женат / замужем;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;
16;1000976;2НДФЛ;Покупка автомобиля;0;0.49;женский;0;0;среднее-специальное;специалист;>250;0;29;49;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1000996;Поступление зарплаты на счет;Отпуск;1;0.24;женский;0;0;высшее;специалист;>250;0;39;25;Торговля;ЗАО;холост / не замужем;1;1;1;0;0;0;0;0;0;0;1;1;0;10;1;0;0;9;9;0;0;0;0;0;0;0
16;1001016;Свободная форма с печатью работодателя;Покупка автомобиля;0;0.11;мужской;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1001036;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.59;женский;0;0;среднее-специальное;специалист;>250;0;109;49;Торговля;ООО;холост / не замужем;1;1;1;1;0;0.0161290323;0;1;0;0;1;3;0;61;3;2;0;3;46;1;0;0;0;0;0;0
