index;applied;develop;grants;avrg;inn_activity;doctors;nurses;tech_innovations;beds
0,665558886;21364,2;0;0;10,3;8,59375;0,782744985;1,097684732;2793,5514;0,976129041
0,667376417;67686,4;2758;83989,1;9,9;8,894117647;0,066409413;0,065526309;11575,5286;0,664094126
0,253299029;146938,6;7848;257414,5;10,8;8,333333333;0,14239529;0,174143467;42523,6459;0,314338388
-0,041037719;36268;0;34090,9;9,8;20,52313883;0,231667054;0,293183164;9174,0951;0,981640059
0,240390064;52287;0;111500;10,5;14,13043478;0,185834672;0,310977673;14195,5991;0,639142368
-0,034394316;27503,4;0;75569,8;11,4;8,588957055;0,488910297;0,584835735;8452,3285;0,866423312
0,34599606;253248,8;0;263445,3;10,9;13,19281811;0,114521874;0,171425674;19588,4335;0,285709456
0,111061729;73700,8;19348,6;137045;12,4;9,669811321;0,226400034;0,246933991;3737,1917;0,526511707
-0,200026045;56898,1;5482,9;110246,2;11,3;16,63701068;0,095071795;0,107748034;28327,0283;0,798026886
-0,086730835;300080;0;170660,3;12,7;8,730800323;0,193779187;0,156192707;26776,2569;0,584678581
0,477923372;78523,1;39562,7;120734;11,3;18,15181518;0,299040744;0,384942297;20703,1634;0,193762901
0,185548064;53821,2;18381,3;75392,4;10,6;17,09741551;0,263111169;0,328029121;12725,1162;0,730864359
-0,002299284;63494,7;0;35669,9;11,1;13,28502415;0,335214681;0,274542341;12785,642;1,638153195
0,160093385;193219,1;0;29703,1;10,7;16,61931818;0,32903304;0,262431186;10401,3478;1,202809604
0,275854112;0;0;83180,4;12,2;7,111111111;0,344468501;0,603564405;702,9638;0,843798922
0,049693812;7951,3;0;47735,9;10,8;11,64835165;0,514280343;0,605588603;6516,2708;0,913082594
0,043296471;7048,3;0;30380,8;12,1;10,60869565;0,470101314;0,581568636;8112,2952;1,45392159
0,122509775;0;0;33918,4;11,9;15,51724138;1,268044949;1,060952181;344,9434;2,230229809
0,085077397;318,2;4,5;26526,7;11,8;15,36050157;0,238374652;0,33549025;18717,7371;0,407478037
0,083566581;29563,1;11825,2;71843,7;12,1;14,17797888;0,462395175;0,625546657;4717,1648;1,623556209
-0,014438196;34420,6;0;31028,7;11,4;8,547008547;0,317782807;0,380940478;9316,6546;1,429357813
-0,282256029;37011,1;11336,4;59495,3;10,5;5,443548387;0,255112323;0,278072433;17131,1742;0,658189794
-0,012423901;0;0;30174,1;11,3;8,203125;0,428665065;0,44069174;975,0688;0,79891485
-0,096665832;0;75939,5;15107,1;10,5;23,57954545;0,419548692;0,550931372;10461,4912;1,051061441
0,086871191;22545,2;6000;23535;12,9;10,75949367;0,72979014;0,833132685;2984,6765;0,639232239
-0,183475815;0;0;17898,1;12;6,25;0,659408124;0,67077723;997,5526;1,38955735
-0,024307093;1860;0;32322;11,9;13,00613497;0,436088128;0,521250119;7249,7788;0,697447343
-0,039870774;47346,8;0;60051,7;11,9;15,60402685;0,36600588;0,492487393;2023,5749;0,758889081
-0,127773884;29475,5;0;12088,9;11,7;7,504363002;0,33565709;0,338393425;4224,1243;0,966838356
-0,082536697;480216,6;0;39247;11,6;7,936507937;0,158247744;0,192540709;6081,7622;0,485817001
-0,144643707;177033,1;92708;103426,7;11,5;7,992007992;0,199258024;0,24567154;7127,13;2,192638496
-0,208033176;501209,7;3257,3;368369;10,4;11,15771812;0,201533713;0,239372695;6596,9321;0,55113301
0,202774428;0;0;48941,8;9,9;12,60504202;1,013055415;0,84720121;83,3109;3,384322295
-0,021906394;12202,1;0;18264,6;10,8;10,42253521;0,524791965;0,621828969;1787,1149;0,792138814
0,097620583;1901,8;0;13302,4;12,7;8,918406072;0,497501637;0,679315872;2928,5211;0,542729059
-0,139443136;73562;13959,4;27209,4;11,1;16,39344262;0,614489353;0,731449259;3752,3626;1,349537379
-0,514123508;116199,6;1067;99935,6;11;15,39568345;0,222367217;0,186668032;4338,4301;1,032265612
-0,298627228;600;0;96815,7;11,2;12,29508197;0,286844067;0,558292549;8328,095;0,486176385
-0,01372367;0;1300;28850;11,9;17,6056338;0,793780769;1,138030956;2826,0298;1,002670446
-0,096408213;941,3;0;57751,7;11;8,243243243;0,400388184;0,58929785;2164,5777;0,501530085
-0,159773099;1398,1;0;73164;10,9;9,180327869;0,63467844;0,446385092;901,3553;1,509593221
