basket;social;income;population;sme;invest;area;employ
102358,6;302971611,1;77049720,7;1094548;552,7;48336,4;24,6;35,7
102807,15;19108436,5;9467999,5;106798;310,6;19085;24,4;18,3
97641,29;12331925,8;8599653,5;88917;285,4;2509,2;23,5;25,7
99319,81;11447786,2;8403537,9;70821;362,1;3868,1;29;18,4
