index;applied;develop;grants;avrg;inn_activity;doctors;nurses;tech_innovations;beds
,111061729138719;73700,8;19348,6;137045;12,4;9,66981132075472;,226400034117959;,24693399070075;3737,1917;,526511707251067
-,0343943156105061;27503,4;0;75569,8;11,4;8,58895705521472;,488910297337914;,584835735423201;8452,3285;,866423311738076
-,203268479542181;4173,6;0;3250;10,9;8,17307692307692;,686400125513166;,647177261198128;343,5999;1,30742881050127
-,0966658322803044;0;75939,5;15107,1;10,5;23,5795454545455;,419548691735066;,550931371819116;10461,4912;1,0510614406724
-,144643706574423;177033,1;92708;103426,7;11,5;7,99200799200799;,19925802393657;,245671539552318;7127,13;2,19263849633013
-,38733188788899;104,2;38,8;10478;10,1;7,35294117647059;,74736320917762;,681968928374578;243,048;1,43867417766692
,0868711907203396;22545,2;6000;23535;12,9;10,7594936708861;,729790140055784;,833132685435946;2984,6765;,63923223946492
,257676699086085;242456,1;39910,9;596241,7;10,9;16,6666666666667;,101317122593718;,148382055972494;39781,1867;,579617406142553
-,276080389531984;9597,9;0;27427,7;10,5;20,8523592085236;,370473985636891;,538178258970463;10075,2074;,929996424849809
,424444686780719;199016,1;39255,3;905645,2;10,3;21,5319662243667;,0992114865879914;,151252653971356;126908,4087;,192270322844945
-,323336314674857;0;0;0;11,4;5,63380281690141;1,33877178722356;1,87575167990114;18,1543;3,31015002335495
-,416753570670454;0;0;11255,2;11,3;10,2564102564103;,394334042442796;,320540537424261;326,0335;,668753639230472
-,208033175767734;501209,7;3257,3;368369;10,4;11,1577181208054;,201533712682846;,239372695472278;6596,9321;,551133010193904
-,00229928439705405;63494,7;0;35669,9;11,1;13,2850241545894;,335214681492964;,274542340951251;12785,642;1,63815319462625
-,127773884298334;29475,5;0;12088,9;11,7;7,5043630017452;,335657089798305;,338393424769487;4224,1243;,966838356484247
-,733522330333088;0;0;1524;9,6;6,56934306569343;1,91778575463275;1,53058435524134;28,4962;1,36659317432263
-,391682551759304;908,7;0;25516,6;10,8;30,4;,453872912307493;,544811347805926;6139,9587;1,0076961771448
1,01964003457172;1142301,4;90646,5;1436083,7;10,6;14,0629685157421;,0502272324467922;,0718092463887732;136922,6108;1,70170909930408
-,0410377187689221;36268;0;34090,9;9,8;20,523138832998;,231667053869134;,293183164218565;9174,0951;,981640058767518
-,0219063940812216;12202,1;0;18264,6;10,8;10,4225352112676;,524791964543867;,621828969308582;1787,1149;,792138814405837
3,15504112187293;12305230,8;1663919;13163775,6;7,6;33,7593184238552;,0249077247868788;,0314707125878659;249579,3684;2,00685096854281
-,37972746158528;16856,7;0;13819,2;10,9;8,78552971576227;,78099835416731;,80158964787417;905,3199;1,54434702801446
-,101448575310312;95278,3;23226;148499,7;12,7;6,25470987189148;,204796975306211;,220175502755945;2225,3737;,836441858851374
,2532990289828;146938,6;7848;257414,5;10,8;8,33333333333333;,142395289953588;,174143467183858;42523,6459;,314338388418516
,158765725367673;245183,6;10879,1;310294,9;11,1;10,6398274622574;,213433242611409;,260265716709596;36915,1645;1,696717504213
-,381630033433129;0;0;0;8,9;10,5263157894737;,53959663658067;,515703058577098;345,30105;1,39379205020837
-,159773098585482;1398,1;0;73164;10,9;9,18032786885246;,634678440411648;,446385092361134;901,3553;1,50959322143947
,122509774913906;0;0;33918,4;11,9;15,5172413793103;1,26804494868878;1,06095218068685;344,9434;2,23022980925163
,665558886301183;21364,2;0;0;10,3;8,59375;,782744985367273;1,09768473242093;2793,5514;,976129040575658
,0976205826926206;1901,8;0;13302,4;12,7;8,91840607210626;,497501637232661;,679315871930415;2928,5211;,542729058799266
,834838900015315;34437,3;0;26748,7;10,6;7,86324786324786;,268985332211862;,360044954697838;61623,1407;1,1562175749864
