index;applied;develop;grants;avrg;inn_activity;doctors;nurses;tech_innovations;beds
0,24;52287,00;0,00;111500,00;10,50;14,13;0,19;0,31;14195,60;0,64
0,19;53821,20;18381,30;75392,40;10,60;17,10;0,26;0,33;12725,12;0,73
-0,01;34420,60;0,00;31028,70;11,40;8,55;0,32;0,38;9316,65;1,43
0,42;0,00;0,00;0,00;11,60;2,61;3,07;4,32;26,86;0,91
-0,02;1860,00;0,00;32322,00;11,90;13,01;0,44;0,52;7249,78;0,70
-0,22;0,00;0,00;2809,40;12,60;5,83;0,67;0,59;685,35;1,26
-0,51;116199,60;1067,00;99935,60;11,00;15,40;0,22;0,19;4338,43;1,03
0,35;253248,80;0,00;263445,30;10,90;13,19;0,11;0,17;19588,43;0,29
0,08;29563,10;11825,20;71843,70;12,10;14,18;0,46;0,63;4717,16;1,62
-0,20;56898,10;5482,90;110246,20;11,30;16,64;0,10;0,11;28327,03;0,80
0,13;66577,40;7755,20;211262,50;11,50;11,13;0,16;0,23;61568,15;1,14
-0,01;0,00;1300,00;28850,00;11,90;17,61;0,79;1,14;2826,03;1,00
-0,09;300080,00;0,00;170660,30;12,70;8,73;0,19;0,16;26776,26;0,58
0,26;144388,00;509102,60;1295871,00;12,00;18,11;0,12;0,15;95618,10;0,91
0,05;7951,30;0,00;47735,90;10,80;11,65;0,51;0,61;6516,27;0,91
0,67;67686,40;2758,00;83989,10;9,90;8,89;0,07;0,07;11575,53;0,66
0,05;1629581,10;8148,40;210109,40;11,80;12,42;0,12;0,14;29251,84;1,31
-0,41;3724,10;8820,00;63509,90;10,20;16,41;0,64;0,72;2681,19;0,76
0,28;0,00;0,00;83180,40;12,20;7,11;0,34;0,60;702,96;0,84
0,48;78523,10;39562,70;120734,00;11,30;18,15;0,30;0,38;20703,16;0,19
0,16;193219,10;0,00;29703,10;10,70;16,62;0,33;0,26;10401,35;1,20
-0,26;47864,00;0,00;26936,80;10,30;2,24;0,09;0,14;672,45;0,58
0,04;7048,30;0,00;30380,80;12,10;10,61;0,47;0,58;8112,30;1,45
-0,47;434,00;0,00;40429,80;12,10;6,80;0,35;0,56;4263,99;0,41
-0,14;498214,80;330379,60;2398521,30;10,30;10,16;0,16;0,19;8121,58;0,64
-0,81;0,00;0,00;6838,50;10,80;1,98;1,20;1,17;21,59;1,99
-0,38;131747,90;25,20;87809,00;10,90;9,53;0,32;0,37;50311,27;0,29
0,09;318,20;4,50;26526,70;11,80;15,36;0,24;0,34;18717,74;0,41
-0,39;15769,10;23,00;8810,00;11,40;5,56;0,50;0,71;1106,74;0,72
0,20;0,00;0,00;48941,80;9,90;12,61;1,01;0,85;83,31;3,38
-0,10;941,30;0,00;57751,70;11,00;8,24;0,40;0,59;2164,58;0,50
-0,56;0,00;0,00;0,00;12,00;7,25;3,52;4,14;78,00;2,26
0,66;0,00;0,00;2820,00;12,80;5,98;0,70;0,69;54505,68;1,45
-0,20;432534,20;27273,70;918343,00;12,30;17,95;0,33;0,35;16336,87;1,07
-0,28;37011,10;11336,40;59495,30;10,50;5,44;0,26;0,28;17131,17;0,66
-0,01;0,00;0,00;30174,10;11,30;8,20;0,43;0,44;975,07;0,80
-0,28;0,00;0,00;10325,00;9,30;0,18;0,21;0,26;13,17;1,32
1,53;3138642,00;57110,80;4495169,50;10,60;28,29;0,09;0,11;94160,11;2,62
-0,48;1533,90;0,00;115762,00;11,10;6,45;0,71;0,69;12,90;2,06
-0,25;35857,50;0,00;23407,80;12,80;8,57;0,69;0,88;2924,47;4,26
-0,69;68956,10;16,50;4400,00;12,10;10,74;0,59;0,64;820,79;0,65
-0,14;73562,00;13959,40;27209,40;11,10;16,39;0,61;0,73;3752,36;1,35
-0,17;40697,30;0,00;70950,30;11,30;8,13;0,46;0,35;154,70;0,60
-0,30;600,00;0,00;96815,70;11,20;12,30;0,29;0,56;8328,10;0,49
-0,08;480216,60;0,00;39247,00;11,60;7,94;0,16;0,19;6081,76;0,49
0,17;0,00;0,00;417,60;13,20;10,33;2,50;2,47;214,98;2,42
-0,18;0,00;0,00;17898,10;12,00;6,25;0,66;0,67;997,55;1,39
-0,20;470,00;14865,10;11616,70;10,20;12,30;0,30;0,36;4932,32;0,95
-0,04;0,00;0,00;0,00;13,90;12,50;9,54;9,30;32,16;1,16
-0,17;44758,00;0,00;187574,70;11,30;7,24;0,22;0,18;602,12;0,25
-0,19;16033,50;0,00;78348,00;11,30;10,99;0,67;0,81;5797,33;1,48
-0,22;1187,50;0,00;4771,00;11,40;9,59;0,48;0,55;36,13;2,36
-0,28;0,00;0,00;5945,00;10,50;13,37;0,85;1,15;686,42;1,91
-0,04;47346,80;0,00;60051,70;11,90;15,60;0,37;0,49;2023,57;0,76
0,11;73700,80;19348,60;137045,00;12,40;9,67;0,23;0,25;3737,19;0,53
-0,03;27503,40;0,00;75569,80;11,40;8,59;0,49;0,58;8452,33;0,87
-0,20;4173,60;0,00;3250,00;10,90;8,17;0,69;0,65;343,60;1,31
-0,10;0,00;75939,50;15107,10;10,50;23,58;0,42;0,55;10461,49;1,05
-0,14;177033,10;92708,00;103426,70;11,50;7,99;0,20;0,25;7127,13;2,19
-0,39;104,20;38,80;10478,00;10,10;7,35;0,75;0,68;243,05;1,44
0,09;22545,20;6000,00;23535,00;12,90;10,76;0,73;0,83;2984,68;0,64
0,26;242456,10;39910,90;596241,70;10,90;16,67;0,10;0,15;39781,19;0,58
-0,28;9597,90;0,00;27427,70;10,50;20,85;0,37;0,54;10075,21;0,93
0,42;199016,10;39255,30;905645,20;10,30;21,53;0,10;0,15;126908,41;0,19
-0,32;0,00;0,00;0,00;11,40;5,63;1,34;1,88;18,15;3,31
-0,42;0,00;0,00;11255,20;11,30;10,26;0,39;0,32;326,03;0,67
-0,21;501209,70;3257,30;368369,00;10,40;11,16;0,20;0,24;6596,93;0,55
0,00;63494,70;0,00;35669,90;11,10;13,29;0,34;0,27;12785,64;1,64
-0,13;29475,50;0,00;12088,90;11,70;7,50;0,34;0,34;4224,12;0,97
-0,73;0,00;0,00;1524,00;9,60;6,57;1,92;1,53;28,50;1,37
-0,39;908,70;0,00;25516,60;10,80;30,40;0,45;0,54;6139,96;1,01
1,02;1142301,40;90646,50;1436083,70;10,60;14,06;0,05;0,07;136922,61;1,70
-0,04;36268,00;0,00;34090,90;9,80;20,52;0,23;0,29;9174,10;0,98
-0,02;12202,10;0,00;18264,60;10,80;10,42;0,52;0,62;1787,11;0,79
3,16;12305230,80;1663919,00;13163775,60;7,60;33,76;0,02;0,03;249579,37;2,01
-0,38;16856,70;0,00;13819,20;10,90;8,79;0,78;0,80;905,32;1,54
-0,10;95278,30;23226,00;148499,70;12,70;6,25;0,20;0,22;2225,37;0,84
0,25;146938,60;7848,00;257414,50;10,80;8,33;0,14;0,17;42523,65;0,31
0,16;245183,60;10879,10;310294,90;11,10;10,64;0,21;0,26;36915,16;1,70
-0,38;0,00;0,00;0,00;8,90;10,53;0,54;0,52;345,30;1,39
-0,16;1398,10;0,00;73164,00;10,90;9,18;0,63;0,45;901,36;1,51
0,12;0,00;0,00;33918,40;11,90;15,52;1,27;1,06;344,94;2,23
0,67;21364,20;0,00;0,00;10,30;8,59;0,78;1,10;2793,55;0,98
0,10;1901,80;0,00;13302,40;12,70;8,92;0,50;0,68;2928,52;0,54
